t,r,y,ym,u,t1,t2,t3,ypb
16.152,0.1255009,5.656828,0,3,0,0,0,0
16.252,0.126261,5.652127,0,3,0,0,0,0
16.352,0.1270208,5.643085,0,3,0,0,0,0
16.451,0.1277727,5.651765,0,3,0,0,0,0
16.552,0.1285394,5.663701,0,3,0,0,0,0
16.651,0.1292907,5.66153,0,3,0,0,0,0
16.751,0.1300492,5.681785,0,3,0,0,0,0
16.852,0.130815,5.675275,0,3,0,0,0,0
16.952,0.1315729,5.668403,0,3,0,0,0,0
17.052,0.1323304,5.674551,0,3,0,0,0,0
17.152,0.1330876,5.689019,0,3,0,0,0,0
17.251,0.133837,5.673828,0,3,0,0,0,0
17.352,0.1346011,5.678168,0,3,0,0,0,0
17.452,0.1353574,5.686125,0,3,0,0,0,0
17.552,0.1361133,5.686125,0,3,0,0,0,0
17.651,0.1368613,5.683232,0,3,0,0,0,0
17.752,0.1376241,5.688657,0,3,0,0,0,0
17.852,0.138379,5.691189,0,3,0,0,0,0
17.952,0.1391335,5.701678,0,3,0,0,0,0
18.052,0.1398877,5.701678,0,3,0,0,0,0
18.152,0.1406416,5.704933,0,3,0,0,0,0
18.252,0.1413951,5.701316,0,3,0,0,0,0
18.352,0.1421483,5.693721,0,3,0,0,0,0
18.452,0.1429011,5.706742,0,3,0,0,0,0
18.551,0.143646,5.713614,0,3,0,0,0,0
18.652,0.1444056,5.701316,0,3,0,0,0,0
18.752,0.1451574,5.700955,0,3,0,0,0,0
18.852,0.1459088,5.709997,0,3,0,0,0,0
18.952,0.1466598,5.721933,0,3,0,0,0,0
19.052,0.1474105,5.736039,0,3,0,0,0,0
19.152,0.1481608,5.72555,0,3,0,0,0,0
19.252,0.1489107,5.715422,0,3,0,0,0,0
19.352,0.1496603,5.713975,0,3,0,0,0,0
19.452,0.1504095,5.723018,0,3,0,0,0,0
19.552,0.1511583,5.732422,0,3,0,0,0,0
19.652,0.1519068,5.735315,0,3,0,0,0,0
19.752,0.1526549,5.742188,0,3,0,0,0,0
19.852,0.1534026,5.746166,0,3,0,0,0,0
19.952,0.1541499,5.737485,0,3,0,0,0,0
20.052,0.1548969,5.727358,0,3,0,0,0,0
20.151,0.155636,5.7364,0,3,0,0,0,0
20.251,0.1563822,5.743272,0,3,0,0,0,0
20.352,0.1571354,5.743634,0,3,0,0,0,0
20.452,0.1578808,5.747974,0,3,0,0,0,0
20.552,0.1586259,5.743996,0,3,0,0,0,0
20.652,0.1593705,5.742549,0,3,0,0,0,0
20.752,0.1601147,5.752676,0,3,0,0,0,0
20.852,0.1608586,5.747613,0,3,0,0,0,0
20.952,0.161602,5.748698,0,3,0,0,0,0
21.052,0.1623451,5.751953,0,3,0,0,0,0
21.152,0.1630877,5.766782,0,3,0,0,0,0
21.252,0.16383,5.758102,0,3,0,0,0,0
21.352,0.1645718,5.75991,0,3,0,0,0,0
21.452,0.1653132,5.759549,0,3,0,0,0,0
21.552,0.1660542,5.7534,0,3,0,0,0,0
21.652,0.1667949,5.774378,0,3,0,0,0,0
21.752,0.1675351,5.775463,0,3,0,0,0,0
21.852,0.1682748,5.768229,0,3,0,0,0,0
21.952,0.1690142,5.763527,0,3,0,0,0,0
22.052,0.1697532,5.75557,0,3,0,0,0,0
22.152,0.1704917,5.764612,0,3,0,0,0,0
