t,r,snimac1,ym,spir,theta1,theta2,theta3,ypb,Ts,vent
9.200157,0.072007,5.767683,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.300156,0.072784,5.777466,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.400156,0.073561,5.806817,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.500157,0.074337,5.836167,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.600156,0.075114,5.845950,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.700160,0.075890,5.855733,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
9.800165,0.076667,5.836167,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
9.900169,0.077443,5.836167,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.000168,0.078219,5.894865,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.100172,0.078994,5.894865,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.200177,0.079770,5.904647,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.300181,0.080545,5.865516,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.400180,0.081320,5.875299,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.500181,0.082095,5.894865,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.600180,0.082869,5.914431,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.700184,0.083644,5.933996,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.800189,0.084418,5.953561,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.900189,0.085192,5.943779,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.000192,0.085966,5.933996,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
11.100193,0.086740,5.953561,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.200197,0.087513,5.973127,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
11.300201,0.088286,5.973127,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
