t,r_l,r_g,r_gf,snimac1,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,Ts,vent
8.900144,0.000000,6.341200,1.187322,3.252775,0.000000,0.000000,-10.363433,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.000144,0.000000,6.341200,1.210197,3.242881,0.000000,0.000000,-10.376938,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.100145,0.000000,6.341200,1.233129,3.232985,0.000000,0.000000,-10.387915,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.200144,0.000000,6.341200,1.256115,3.223088,0.000000,0.000000,-10.396373,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.300145,0.000000,6.341200,1.279153,3.232985,0.000000,0.000000,-10.481497,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.400149,0.000000,6.341200,1.302238,3.223088,0.000000,0.000000,-10.486338,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
9.500152,0.000000,6.341200,1.325369,3.213191,0.000000,0.000000,-10.488692,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
9.600152,0.000000,6.341200,1.348541,3.213191,0.000000,0.000000,-10.528156,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.700153,0.000000,6.341200,1.371750,3.223088,0.000000,0.000000,-10.605431,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.800156,0.000000,6.341200,1.394995,3.193394,0.000000,0.000000,-10.523272,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
9.900160,0.000000,6.341200,1.418272,3.203293,0.000000,0.000000,-10.595650,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
10.000161,0.000000,6.341200,1.441579,3.193394,0.000000,0.000000,-10.587786,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
10.100165,0.000000,6.341200,1.464910,3.183495,0.000000,0.000000,-10.577488,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
10.200164,0.000000,6.341200,1.488266,3.183495,0.000000,0.000000,-10.604370,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
10.300168,0.000000,6.341200,1.511642,3.183495,0.000000,0.000000,-10.629534,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
10.400173,0.000000,6.341200,1.535036,3.153791,0.000000,0.000000,-10.534174,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
10.500172,0.000000,6.341200,1.558446,3.163693,0.000000,0.000000,-10.593462,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
10.600172,0.000000,6.341200,1.581867,3.153791,0.000000,0.000000,-10.572538,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
10.700173,0.000000,6.341200,1.605297,3.143888,0.000000,0.000000,-10.549239,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
10.800176,0.000000,6.341200,1.628735,3.153791,0.000000,0.000000,-10.602799,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
10.900180,0.000000,6.341200,1.652179,3.153791,0.000000,0.000000,-10.615780,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
11.000181,0.000000,6.341200,1.675626,3.163693,0.000000,0.000000,-10.666722,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
11.100185,0.000000,6.341200,1.699071,3.153791,0.000000,0.000000,-10.637496,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
11.200184,0.000000,6.341200,1.722515,3.133984,0.000000,0.000000,-10.566330,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
11.300185,0.000000,6.341200,1.745953,3.133984,0.000000,0.000000,-10.571379,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
11.400184,0.000000,6.341200,1.769384,3.133984,0.000000,0.000000,-10.574816,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
11.500185,0.000000,6.341200,1.792807,3.124080,0.000000,0.000000,-10.537031,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
11.600189,0.000000,6.341200,1.816218,3.104268,0.000000,0.000000,-10.457329,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
11.700188,0.000000,6.341200,1.839616,3.133984,0.000000,0.000000,-10.572767,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
11.800189,0.000000,6.341200,1.862999,3.124080,0.000000,0.000000,-10.530225,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
