t,r,snimac1,ym,spir,theta1,theta2,theta3,ypb,Ts,vent
9.100176,0.071229,4.611916,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
9.200177,0.072007,4.602104,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.300176,0.072784,4.641350,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.400177,0.073561,4.660971,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.500181,0.074338,4.660971,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
9.600180,0.075114,4.660971,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.700181,0.075891,4.670781,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.800181,0.076667,4.690400,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.900180,0.077443,4.719824,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.000185,0.078219,4.739439,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.100185,0.078994,4.739439,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.200184,0.079770,4.739439,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.300185,0.080545,4.759053,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.400184,0.081320,4.788470,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.500188,0.082095,4.798275,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.600189,0.082870,4.798275,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.700188,0.083644,4.768859,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.800189,0.084418,4.798275,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.900189,0.085192,4.808080,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.000192,0.085966,4.827688,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
11.100193,0.086740,4.827688,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.200193,0.087513,4.837492,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.300192,0.088286,4.847295,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.400197,0.089059,4.837492,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
11.500197,0.089832,4.847295,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.600196,0.090604,4.886505,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.700197,0.091377,4.896306,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.800196,0.092149,4.896306,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.900197,0.092921,4.896306,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.000201,0.093692,4.906108,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
12.100205,0.094464,4.925710,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
12.200204,0.095235,4.915909,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.300205,0.096006,4.964910,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.400204,0.096776,4.925710,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.500205,0.097547,4.925710,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.600209,0.098317,4.945310,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
12.700212,0.099087,4.974709,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
12.800212,0.099857,4.974709,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.900217,0.100626,4.994306,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
13.000221,0.101395,4.964910,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
13.100220,0.102164,4.964910,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
13.200224,0.102933,4.994306,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
13.300225,0.103701,5.013902,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
13.400224,0.104470,5.023700,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
13.500228,0.105238,5.033497,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
13.600233,0.106005,5.013902,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
13.700232,0.106773,5.013902,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
13.800232,0.107540,5.053091,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
13.900237,0.108307,5.033497,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
14.000241,0.109073,5.072684,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
14.100240,0.109840,5.043294,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
14.200241,0.110606,5.043294,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
14.300245,0.111372,5.062888,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
14.400248,0.112137,5.072684,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
14.500248,0.112903,5.092275,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
14.600249,0.113668,5.102071,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
14.700252,0.114432,5.062888,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
14.800256,0.115197,5.072684,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
14.900257,0.115961,5.062888,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.000261,0.116725,5.102071,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
15.100260,0.117488,5.121661,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.200261,0.118251,5.121661,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.300260,0.119014,5.092275,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.400260,0.119777,5.082480,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.500261,0.120540,5.121661,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.600260,0.121302,5.141250,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.700264,0.122063,5.151044,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
15.800265,0.122825,5.131456,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.900268,0.123586,5.131456,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
16.000272,0.124347,5.141250,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
16.100271,0.125108,5.170631,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.200271,0.125868,5.170631,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.300271,0.126628,5.180425,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.400276,0.127387,5.141250,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
16.500280,0.128147,5.141250,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
16.600280,0.128906,5.151044,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.700279,0.129665,5.200011,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.800279,0.130423,5.190218,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.900283,0.131181,5.190218,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.000284,0.131939,5.170631,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
17.100284,0.132696,5.180425,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
17.200283,0.133453,5.200011,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
17.300283,0.134210,5.229388,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
17.400287,0.134966,5.219596,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.500291,0.135722,5.209804,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.600292,0.136478,5.190218,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
17.700292,0.137234,5.219596,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
17.800296,0.137989,5.219596,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.900295,0.138743,5.229388,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.000295,0.139498,5.239181,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.100296,0.140252,5.219596,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.200300,0.141006,5.229388,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
18.300304,0.141759,5.229388,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
18.400304,0.142512,5.248972,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.500303,0.143265,5.268555,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.600303,0.144017,5.258763,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.700307,0.144769,5.239181,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
18.800312,0.145520,5.219596,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
18.900316,0.146272,5.258763,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
19.000316,0.147023,5.278346,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
19.100315,0.147773,5.288137,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
19.200319,0.148523,5.258763,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
19.300323,0.149273,5.278346,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
19.400323,0.150022,5.278346,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
19.500324,0.150771,5.307718,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
19.600324,0.151520,5.307718,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
19.700328,0.152268,5.307718,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
19.800331,0.153016,5.278346,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
19.900335,0.153764,5.278346,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
20.000335,0.154511,5.268555,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
20.100336,0.155258,5.297927,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
20.200336,0.156004,5.297927,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
20.300336,0.156750,5.307718,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
20.400339,0.157496,5.278346,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
20.500339,0.158241,5.268555,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
20.600343,0.158986,5.288137,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
20.700347,0.159730,5.307718,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
20.800348,0.160474,5.307718,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
20.900348,0.161218,5.327298,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
21.000352,0.161961,5.297927,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
21.100351,0.162704,5.297927,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
21.200355,0.163447,5.337088,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
21.300355,0.164189,5.337088,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
21.400360,0.164930,5.327298,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
21.500360,0.165672,5.297927,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
21.600360,0.166412,5.317508,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
21.700359,0.167153,5.307718,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
21.800359,0.167893,5.346878,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
21.900360,0.168632,5.337088,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
22.000360,0.169372,5.337088,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
22.100360,0.170110,5.327298,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
22.200359,0.170849,5.337088,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
22.300363,0.171587,5.317508,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
22.400367,0.172324,5.376245,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
22.500368,0.173061,5.356667,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
22.600368,0.173798,5.366456,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
22.700368,0.174534,5.337088,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
22.800367,0.175270,5.337088,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
22.900367,0.176005,5.366456,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
23.000371,0.176740,5.376245,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
23.100372,0.177475,5.366456,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
23.200372,0.178209,5.337088,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
23.300376,0.178942,5.346878,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
23.400379,0.179675,5.366456,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
23.500379,0.180408,5.395823,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
23.600383,0.181140,5.395823,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
23.700384,0.181872,5.376245,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
23.800388,0.182604,5.356667,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
23.900388,0.183335,5.346878,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
24.000387,0.184065,5.376245,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
24.100387,0.184795,5.376245,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
24.200391,0.185525,5.376245,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
24.300392,0.186254,5.376245,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
24.400396,0.186982,5.366456,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
24.500400,0.187711,5.356667,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
24.600404,0.188438,5.395823,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
24.700403,0.189166,5.386034,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
24.800407,0.189893,5.376245,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
24.900407,0.190619,5.346878,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
25.000411,0.191345,5.356667,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
25.100416,0.192070,5.366456,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
25.200420,0.192795,5.405611,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
