t,Ts,snimac1,setpoint_pb,y_pb,u_pb,u,vent
11.700201,0.100004,6.022040,0.350000,6.022040,4.000000,4.000000,6.000000
11.800201,0.100000,6.041605,0.350000,6.041605,4.000000,4.000000,6.000000
11.900204,0.100004,6.012258,0.350000,6.012258,4.000000,4.000000,6.000000
12.000208,0.100004,6.022040,0.350000,6.022040,4.000000,4.000000,6.000000
12.100213,0.100004,6.051388,0.350000,6.051388,4.000000,4.000000,6.000000
12.200212,0.100000,6.051388,0.350000,6.051388,4.000000,4.000000,6.000000
12.300212,0.100000,6.041605,0.350000,6.041605,4.000000,4.000000,6.000000
12.400213,0.100000,6.070953,0.350000,6.070953,4.000000,4.000000,6.000000
12.500216,0.100004,6.031823,0.350000,6.031823,4.000000,4.000000,6.000000
12.600216,0.100000,6.041605,0.350000,6.041605,4.000000,4.000000,6.000000
12.700221,0.100004,6.061171,0.350000,6.061171,4.000000,4.000000,6.000000
12.800225,0.100004,6.051388,0.350000,6.051388,4.000000,4.000000,6.000000
12.900224,0.100000,6.061171,0.350000,6.061171,4.000000,4.000000,6.000000
13.000225,0.100000,6.041605,0.350000,6.041605,4.000000,4.000000,6.000000
13.100224,0.100000,6.061171,0.350000,6.061171,4.000000,4.000000,6.000000
13.200224,0.100000,6.070953,0.350000,6.070953,4.000000,4.000000,6.000000
13.300225,0.100000,6.090518,0.350000,6.090518,4.000000,4.000000,6.000000
13.400228,0.100004,6.090518,0.350000,6.090518,4.000000,4.000000,6.000000
13.500228,0.100000,6.100301,0.350000,6.100301,4.000000,4.000000,6.000000
13.600229,0.100000,6.080736,0.350000,6.080736,4.000000,4.000000,6.000000
13.700232,0.100004,6.070953,0.350000,6.070953,4.000000,4.000000,6.000000
13.800236,0.100004,6.110084,0.350000,6.110084,4.000000,4.000000,6.000000
13.900244,0.100008,6.119866,0.350000,6.119866,4.000000,4.000000,6.000000
14.000248,0.100004,6.090518,0.350000,6.090518,4.000000,4.000000,6.000000
14.100249,0.100000,6.129650,0.350000,6.129650,4.000000,4.000000,6.000000
14.200252,0.100004,6.070953,0.350000,6.070953,4.000000,4.000000,6.000000
14.300256,0.100004,6.080736,0.350000,6.080736,4.000000,4.000000,6.000000
14.400260,0.100004,6.110084,0.350000,6.110084,4.000000,4.000000,6.000000
14.500261,0.100000,6.090518,0.350000,6.090518,4.000000,4.000000,6.000000
