t,r,snimac1,ym,spir,theta1,theta2,theta3,ypb,Ts,vent
347.406005,-0.367662,5.894865,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
347.506011,-0.367129,5.865516,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
347.606018,-0.366596,5.855733,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
347.706024,-0.366061,5.865516,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
347.806030,-0.365525,5.885082,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
347.906005,-0.364989,5.904647,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
348.006011,-0.364452,5.894865,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
348.106018,-0.363914,5.865516,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
348.206024,-0.363375,5.885082,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
348.306060,-0.362835,5.865516,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
348.406005,-0.362294,5.904647,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
348.506042,-0.361752,5.904647,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
348.606018,-0.361210,5.885082,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
348.706054,-0.360666,5.855733,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
348.806030,-0.360122,5.875299,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
348.906036,-0.359576,5.904647,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
349.006042,-0.359030,5.885082,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
349.106048,-0.358483,5.904647,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
349.206054,-0.357935,5.855733,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
349.306060,-0.357386,5.845950,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
349.406036,-0.356836,5.875299,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
349.506042,-0.356286,5.894865,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
349.606048,-0.355734,5.894865,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
349.706054,-0.355182,5.894865,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
349.806060,-0.354629,5.865516,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
349.906036,-0.354075,5.855733,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
350.006042,-0.353520,5.855733,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
350.106048,-0.352964,5.894865,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
350.206054,-0.352407,5.885082,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
350.306060,-0.351850,5.904647,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
350.406066,-0.351291,5.855733,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
350.506072,-0.350732,5.865516,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
350.606079,-0.350171,5.982910,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
350.706085,-0.349610,5.875299,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
350.806091,-0.349048,5.875299,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
350.906066,-0.348486,5.865516,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
351.006072,-0.347922,5.855733,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
