t,r,y,ym,u,t1,t2,t3,ypb
38.05,0.2813664,6.210938,0,3,0,0,0,0
38.25,0.2826635,6.221788,0,3,0,0,0,0
38.45,0.2839578,6.214554,0,3,0,0,0,0
38.65,0.2852493,6.218533,0,3,0,0,0,0
38.85,0.286538,6.217448,0,3,0,0,0,0
39.05,0.2878239,6.22649,0,3,0,0,0,0
39.25,0.2891069,6.223597,0,3,0,0,0,0
39.45,0.290387,6.214192,0,3,0,0,0,0
39.65,0.2916643,6.214192,0,3,0,0,0,0
39.85,0.2929387,6.216363,0,3,0,0,0,0
40.05,0.2942103,6.22432,0,3,0,0,0,0
40.25,0.2954789,6.227213,0,3,0,0,0,0
40.45,0.2967446,6.214554,0,3,0,0,0,0
40.65,0.2980074,6.224681,0,3,0,0,0,0
40.85,0.2992672,6.214192,0,3,0,0,0,0
41.05,0.3005241,6.222511,0,3,0,0,0,0
41.25,0.301778,6.222511,0,3,0,0,0,0
41.45,0.3030289,6.233,0,3,0,0,0,0
41.65,0.3042769,6.212022,0,3,0,0,0,0
41.851,0.305528,6.234809,0,3,0,0,0,0
42.05,0.3067637,6.22432,0,3,0,0,0,0
42.25,0.3080027,6.215278,0,3,0,0,0,0
42.45,0.3092385,6.219256,0,3,0,0,0,0
42.65,0.3104713,6.213469,0,3,0,0,0,0
42.85,0.3117011,6.223235,0,3,0,0,0,0
43.05,0.3129277,6.209491,0,3,0,0,0,0
43.25,0.3141513,6.210576,0,3,0,0,0,0
43.45,0.3153718,6.216363,0,3,0,0,0,0
43.651,0.3165952,6.218894,0,3,0,0,0,0
43.85,0.3178034,6.210214,0,3,0,0,0,0
44.05,0.3190145,6.214192,0,3,0,0,0,0
44.25,0.3202225,6.213469,0,3,0,0,0,0
44.45,0.3214273,6.215278,0,3,0,0,0,0
44.65,0.3226289,6.214192,0,3,0,0,0,0
44.85,0.3238273,6.222511,0,3,0,0,0,0
45.05,0.3250225,6.227937,0,3,0,0,0,0
45.25,0.3262146,6.217448,0,3,0,0,0,0
45.45,0.3274034,6.23083,0,3,0,0,0,0
45.65,0.328589,6.224681,0,3,0,0,0,0
45.85,0.3297713,6.214554,0,3,0,0,0,0
46.05,0.3309504,6.220341,0,3,0,0,0,0
46.25,0.3321263,6.222511,0,3,0,0,0,0
46.45,0.3332988,6.223597,0,3,0,0,0,0
46.65,0.334468,6.235532,0,3,0,0,0,0
46.85,0.335634,6.22215,0,3,0,0,0,0
47.05,0.3367966,6.232277,0,3,0,0,0,0
47.25,0.337956,6.225405,0,3,0,0,0,0
47.451,0.3391177,6.22432,0,3,0,0,0,0
47.651,0.3402703,6.223597,0,3,0,0,0,0
47.85,0.3414138,6.206959,0,3,0,0,0,0
48.05,0.3425598,6.218533,0,3,0,0,0,0
48.251,0.343708,6.222511,0,3,0,0,0,0
48.45,0.3448414,6.232277,0,3,0,0,0,0
48.65,0.3459771,6.207682,0,3,0,0,0,0
48.85,0.3471094,6.225767,0,3,0,0,0,0
49.05,0.3482383,6.22215,0,3,0,0,0,0
49.251,0.3493694,6.222873,0,3,0,0,0,0
49.45,0.3504858,6.221788,0,3,0,0,0,0
49.65,0.3516043,6.218171,0,3,0,0,0,0
49.851,0.352725,6.219256,0,3,0,0,0,0
50.05,0.353831,6.221065,0,3,0,0,0,0
50.25,0.3549391,6.232639,0,3,0,0,0,0
50.45,0.3560437,6.22649,0,3,0,0,0,0
50.65,0.3571448,6.220341,0,3,0,0,0,0
50.85,0.3582423,6.208767,0,3,0,0,0,0
51.05,0.3593363,6.223235,0,3,0,0,0,0
51.25,0.3604268,6.22649,0,3,0,0,0,0
51.45,0.3615137,6.225043,0,3,0,0,0,0
51.651,0.3626025,6.209491,0,3,0,0,0,0
51.851,0.3636823,6.222873,0,3,0,0,0,0
52.05,0.364753,6.222873,0,3,0,0,0,0
52.25,0.3658256,6.216724,0,3,0,0,0,0
52.45,0.3668946,6.216724,0,3,0,0,0,0
52.65,0.3679599,6.223958,0,3,0,0,0,0
52.85,0.3690217,6.223235,0,3,0,0,0,0
53.05,0.3700798,6.216001,0,3,0,0,0,0
53.25,0.3711342,6.211299,0,3,0,0,0,0
53.45,0.3721849,6.221788,0,3,0,0,0,0
53.65,0.373232,6.224681,0,3,0,0,0,0
53.85,0.3742754,6.215278,0,3,0,0,0,0
54.05,0.3753152,6.221065,0,3,0,0,0,0
54.25,0.3763511,6.225767,0,3,0,0,0,0
54.45,0.3773834,6.215278,0,3,0,0,0,0
54.65,0.378412,6.231915,0,3,0,0,0,0
54.85,0.3794369,6.211661,0,3,0,0,0,0
55.05,0.3804579,6.22215,0,3,0,0,0,0
55.25,0.3814753,6.223235,0,3,0,0,0,0
55.45,0.3824888,6.218171,0,3,0,0,0,0
55.651,0.3835037,6.22866,0,3,0,0,0,0
55.851,0.3845097,6.218533,0,3,0,0,0,0
56.05,0.3855068,6.214192,0,3,0,0,0,0
56.25,0.3865052,6.216001,0,3,0,0,0,0
56.45,0.3874998,6.214192,0,3,0,0,0,0
56.65,0.3884906,6.210938,0,3,0,0,0,0
56.85,0.3894776,6.214554,0,3,0,0,0,0
57.05,0.3904606,6.216724,0,3,0,0,0,0
57.25,0.3914399,6.21564,0,3,0,0,0,0
57.45,0.3924153,6.215278,0,3,0,0,0,0
57.65,0.3933868,6.227213,0,3,0,0,0,0
57.85,0.3943544,6.207321,0,3,0,0,0,0
58.05,0.3953181,6.216363,0,3,0,0,0,0
58.25,0.3962779,6.21998,0,3,0,0,0,0
58.45,0.3972338,6.218533,0,3,0,0,0,0
58.65,0.3981858,6.223235,0,3,0,0,0,0
58.85,0.3991339,6.215278,0,3,0,0,0,0
59.05,0.400078,6.216363,0,3,0,0,0,0
59.25,0.4010182,6.214554,0,3,0,0,0,0
59.45,0.4019544,6.20515,0,3,0,0,0,0
59.65,0.4028867,6.206597,0,3,0,0,0,0
59.85,0.4038149,6.215278,0,3,0,0,0,0
60.05,0.4047392,6.212384,0,3,0,0,0,0
60.25,0.4056595,6.22215,0,3,0,0,0,0
60.45,0.4065758,6.212022,0,3,0,0,0,0
60.651,0.4074926,6.215278,0,3,0,0,0,0
60.85,0.4083963,6.223958,0,3,0,0,0,0
61.05,0.4093006,6.211299,0,3,0,0,0,0
61.251,0.4102052,6.208405,0,3,0,0,0,0
61.45,0.4110969,6.216001,0,3,0,0,0,0
61.65,0.411989,6.208044,0,3,0,0,0,0
61.85,0.412877,6.200449,0,3,0,0,0,0
62.05,0.4137609,6.200087,0,3,0,0,0,0
62.25,0.4146408,6.220341,0,3,0,0,0,0
62.45,0.4155165,6.206959,0,3,0,0,0,0
62.65,0.4163882,6.203342,0,3,0,0,0,0
62.85,0.4172558,6.225043,0,3,0,0,0,0
63.05,0.4181192,6.202257,0,3,0,0,0,0
63.25,0.4189785,6.218894,0,3,0,0,0,0
63.451,0.4198379,6.211299,0,3,0,0,0,0
63.65,0.4206847,6.209129,0,3,0,0,0,0
63.85,0.4215316,6.202257,0,3,0,0,0,0
64.05,0.4223743,6.205512,0,3,0,0,0,0
64.25,0.4232128,6.20298,0,3,0,0,0,0
64.45,0.4240472,6.206235,0,3,0,0,0,0
64.65,0.4248774,6.19864,0,3,0,0,0,0
64.85,0.4257034,6.196108,0,3,0,0,0,0
65.05,0.4265252,6.193576,0,3,0,0,0,0
65.25,0.4273427,6.19647,0,3,0,0,0,0
65.45,0.4281561,6.191044,0,3,0,0,0,0
65.651,0.4289693,6.195385,0,3,0,0,0,0
65.851,0.4297742,6.192491,0,3,0,0,0,0
66.05,0.4305708,6.194661,0,3,0,0,0,0
66.25,0.4313672,6.204065,0,3,0,0,0,0
66.449,0.4321554,6.193938,0,3,0,0,0,0
66.65,0.4329473,6.200449,0,3,0,0,0,0
66.85,0.4337309,6.209491,0,3,0,0,0,0
67.05,0.4345102,6.209491,0,3,0,0,0,0
67.25,0.4352853,6.206597,0,3,0,0,0,0
67.45,0.436056,6.19864,0,3,0,0,0,0
67.65,0.4368225,6.208767,0,3,0,0,0,0
67.85,0.4375846,6.210576,0,3,0,0,0,0
68.05,0.4383424,6.213831,0,3,0,0,0,0
68.25,0.4390959,6.198278,0,3,0,0,0,0
68.451,0.4398488,6.207321,0,3,0,0,0,0
68.65,0.4405899,6.212022,0,3,0,0,0,0
68.85,0.4413303,6.208044,0,3,0,0,0,0
69.05,0.4420665,6.209491,0,3,0,0,0,0
69.25,0.4427982,6.205512,0,3,0,0,0,0
69.45,0.4435256,6.214916,0,3,0,0,0,0
69.65,0.4442486,6.206959,0,3,0,0,0,0
69.85,0.4449672,6.226852,0,3,0,0,0,0
70.05,0.4456814,6.203703,0,3,0,0,0,0
70.25,0.4463913,6.221788,0,3,0,0,0,0
70.45,0.4470967,6.207321,0,3,0,0,0,0
70.65,0.4477977,6.201895,0,3,0,0,0,0
70.85,0.4484943,6.201533,0,3,0,0,0,0
71.05,0.4491864,6.202257,0,3,0,0,0,0
71.25,0.4498742,6.201895,0,3,0,0,0,0
71.451,0.4505609,6.205874,0,3,0,0,0,0
71.65,0.4512363,6.214916,0,3,0,0,0,0
71.85,0.4519107,6.221426,0,3,0,0,0,0
72.051,0.4525839,6.212384,0,3,0,0,0,0
72.25,0.4532461,6.210214,0,3,0,0,0,0
72.45,0.4539071,6.213108,0,3,0,0,0,0
72.65,0.4545636,6.217086,0,3,0,0,0,0
72.85,0.4552156,6.212384,0,3,0,0,0,0
73.05,0.4558631,6.21998,0,3,0,0,0,0
73.25,0.4565062,6.206235,0,3,0,0,0,0
73.45,0.4571447,6.206597,0,3,0,0,0,0
73.65,0.4577787,6.204065,0,3,0,0,0,0
73.85,0.4584082,6.201895,0,3,0,0,0,0
74.05,0.4590332,6.207321,0,3,0,0,0,0
74.25,0.4596536,6.21564,0,3,0,0,0,0
74.45,0.4602695,6.210576,0,3,0,0,0,0
74.65,0.4608808,6.212384,0,3,0,0,0,0
74.85,0.4614877,6.221788,0,3,0,0,0,0
75.05,0.4620899,6.221788,0,3,0,0,0,0
75.25,0.4626876,6.21564,0,3,0,0,0,0
75.45,0.4632808,6.214554,0,3,0,0,0,0
75.65,0.4638693,6.213108,0,3,0,0,0,0
75.85,0.4644533,6.216001,0,3,0,0,0,0
76.05,0.4650327,6.218894,0,3,0,0,0,0
76.25,0.4656075,6.21998,0,3,0,0,0,0
76.451,0.4661805,6.205512,0,3,0,0,0,0
76.649,0.4667405,6.220703,0,3,0,0,0,0
76.85,0.4673043,6.213831,0,3,0,0,0,0
77.05,0.4678607,6.205874,0,3,0,0,0,0
77.25,0.4684125,6.221065,0,3,0,0,0,0
77.45,0.4689596,6.218894,0,3,0,0,0,0
77.65,0.4695022,6.20081,0,3,0,0,0,0
77.85,0.47004,6.202619,0,3,0,0,0,0
78.05,0.4705733,6.217448,0,3,0,0,0,0
78.25,0.4711019,6.220703,0,3,0,0,0,0
78.45,0.4716258,6.210576,0,3,0,0,0,0
78.65,0.4721451,6.21998,0,3,0,0,0,0
78.85,0.4726598,6.218894,0,3,0,0,0,0
79.05,0.4731697,6.209129,0,3,0,0,0,0
79.25,0.4736751,6.208405,0,3,0,0,0,0
79.45,0.4741757,6.212022,0,3,0,0,0,0
79.651,0.4746741,6.220703,0,3,0,0,0,0
79.85,0.4751629,6.212384,0,3,0,0,0,0
80.05,0.4756495,6.20298,0,3,0,0,0,0
80.25,0.4761313,6.207321,0,3,0,0,0,0
80.45,0.4766085,6.213108,0,3,0,0,0,0
80.65,0.477081,6.223597,0,3,0,0,0,0
80.85,0.4775488,6.20298,0,3,0,0,0,0
81.05,0.4780118,6.203703,0,3,0,0,0,0
81.25,0.4784702,6.209491,0,3,0,0,0,0
81.451,0.4789261,6.212746,0,3,0,0,0,0
81.65,0.4793727,6.210938,0,3,0,0,0,0
81.85,0.4798169,6.205874,0,3,0,0,0,0
82.05,0.4802563,6.211299,0,3,0,0,0,0
82.25,0.480691,6.210576,0,3,0,0,0,0
82.45,0.4811209,6.207682,0,3,0,0,0,0
82.65,0.4815461,6.189598,0,3,0,0,0,0
82.85,0.4819665,6.210214,0,3,0,0,0,0
83.05,0.4823822,6.210214,0,3,0,0,0,0
83.25,0.4827931,6.210214,0,3,0,0,0,0
83.45,0.4831993,6.203342,0,3,0,0,0,0
83.651,0.4836026,6.207682,0,3,0,0,0,0
83.85,0.4839973,6.203342,0,3,0,0,0,0
84.05,0.4843891,6.200087,0,3,0,0,0,0
84.25,0.4847762,6.209129,0,3,0,0,0,0
84.45,0.4851584,6.198278,0,3,0,0,0,0
84.651,0.4855378,6.201172,0,3,0,0,0,0
84.85,0.4859086,6.197917,0,3,0,0,0,0
85.05,0.4862765,6.199363,0,3,0,0,0,0
85.25,0.4866396,6.200087,0,3,0,0,0,0
85.45,0.4869979,6.204065,0,3,0,0,0,0
85.65,0.4873514,6.19647,0,3,0,0,0,0
85.85,0.4877,6.190683,0,3,0,0,0,0
86.051,0.4880456,6.19213,0,3,0,0,0,0
86.25,0.488383,6.197555,0,3,0,0,0,0
86.45,0.4887172,6.207682,0,3,0,0,0,0
86.65,0.4890466,6.191044,0,3,0,0,0,0
86.85,0.4893712,6.204427,0,3,0,0,0,0
87.05,0.4896909,6.204789,0,3,0,0,0,0
87.25,0.4900058,6.195746,0,3,0,0,0,0
87.45,0.4903159,6.197193,0,3,0,0,0,0
87.651,0.4906226,6.199002,0,3,0,0,0,0
87.851,0.490923,6.198278,0,3,0,0,0,0
88.05,0.4912171,6.185981,0,3,0,0,0,0
88.25,0.4915078,6.183449,0,3,0,0,0,0
88.45,0.4917936,6.197193,0,3,0,0,0,0
88.65,0.4920746,6.207321,0,3,0,0,0,0
88.85,0.4923508,6.1943,0,3,0,0,0,0
89.051,0.4926234,6.197917,0,3,0,0,0,0
89.25,0.4928885,6.193938,0,3,0,0,0,0
89.45,0.49315,6.200449,0,3,0,0,0,0
89.65,0.4934067,6.198278,0,3,0,0,0,0
89.85,0.4936585,6.185981,0,3,0,0,0,0
90.05,0.4939055,6.206959,0,3,0,0,0,0
90.25,0.4941475,6.189236,0,3,0,0,0,0
90.45,0.4943847,6.191768,0,3,0,0,0,0
90.65,0.494617,6.195746,0,3,0,0,0,0
90.85,0.4948445,6.184534,0,3,0,0,0,0
91.05,0.495067,6.19647,0,3,0,0,0,0
91.25,0.4952847,6.185257,0,3,0,0,0,0
91.45,0.4954975,6.196832,0,3,0,0,0,0
91.65,0.4957053,6.186704,0,3,0,0,0,0
91.851,0.4959093,6.188874,0,3,0,0,0,0
92.05,0.4961064,6.176577,0,3,0,0,0,0
92.25,0.4962996,6.178385,0,3,0,0,0,0
92.45,0.4964879,6.188874,0,3,0,0,0,0
92.651,0.4966722,6.184172,0,3,0,0,0,0
92.85,0.4968498,6.19213,0,3,0,0,0,0
93.05,0.4970234,6.185619,0,3,0,0,0,0
93.25,0.4971921,6.198278,0,3,0,0,0,0
93.45,0.4973559,6.193576,0,3,0,0,0,0
93.65,0.4975148,6.176577,0,3,0,0,0,0
93.85,0.4976687,6.178024,0,3,0,0,0,0
94.05,0.4978178,6.183449,0,3,0,0,0,0
94.25,0.4979619,6.189236,0,3,0,0,0,0
94.45,0.4981011,6.191406,0,3,0,0,0,0
94.65,0.4982355,6.181641,0,3,0,0,0,0
94.85,0.4983649,6.186704,0,3,0,0,0,0
95.05,0.4984893,6.183087,0,3,0,0,0,0
95.251,0.4986095,6.181279,0,3,0,0,0,0
95.45,0.4987235,6.19647,0,3,0,0,0,0
95.651,0.4988338,6.19213,0,3,0,0,0,0
95.85,0.498938,6.182364,0,3,0,0,0,0
96.05,0.4990379,6.17513,0,3,0,0,0,0
96.25,0.4991328,6.182725,0,3,0,0,0,0
96.45,0.4992228,6.184534,0,3,0,0,0,0
