time,r,snimac1,ym,spir,theta1,theta2,theta3,y0
12.5,0.0975451610080641,6.640625,0,3,0,0,0,0
12.6,0.09831534730771,6.62109375,0,3,0,0,0,0
12.7,0.0990852910240097,6.640625,0,3,0,0,0,0
12.8,0.0998549902572035,6.6748046875,0,3,0,0,0,0
12.9,0.100624443108135,6.6259765625,0,3,0,0,0,0
13,0.101393647678256,6.58203125,0,3,0,0,0,0
13.1,0.102162602069631,6.62109375,0,3,0,0,0,0
13.2,0.102931304384941,6.6552734375,0,3,0,0,0,0
13.3,0.103699752727489,6.611328125,0,3,0,0,0,0
13.4,0.104467945201206,6.6357421875,0,3,0,0,0,0
13.5,0.105235879910653,6.5966796875,0,3,0,0,0,0
13.6,0.106003554961027,6.5869140625,0,3,0,0,0,0
13.7,0.106770968458167,6.58203125,0,3,0,0,0,0
13.8,0.107538118508557,6.6015625,0,3,0,0,0,0
13.9,0.108305003219329,6.6064453125,0,3,0,0,0,0
14,0.109071620698271,6.591796875,0,3,0,0,0,0
14.1,0.109837969053832,6.6015625,0,3,0,0,0,0
14.2,0.110604046395124,6.5576171875,0,3,0,0,0,0
14.3,0.111369850831925,6.611328125,0,3,0,0,0,0
14.4,0.112135380474691,6.62109375,0,3,0,0,0,0
14.5,0.112900633434552,6.5771484375,0,3,0,0,0,0
14.6,0.113665607823323,6.552734375,0,3,0,0,0,0
14.7,0.114430301753506,6.5771484375,0,3,0,0,0,0
14.8,0.115194713338295,6.54296875,0,3,0,0,0,0
14.9,0.11595884069158,6.5771484375,0,3,0,0,0,0
15,0.116722681927953,6.591796875,0,3,0,0,0,0
15.1,0.117486235162711,6.533203125,0,3,0,0,0,0
15.2,0.118249498511862,6.5673828125,0,3,0,0,0,0
15.3,0.119012470092131,6.54296875,0,3,0,0,0,0
15.4,0.119775148020961,6.6015625,0,3,0,0,0,0
15.5,0.120537530416519,6.5771484375,0,3,0,0,0,0
15.6,0.121299615397704,6.591796875,0,3,0,0,0,0
15.7,0.122061401084145,6.533203125,0,3,0,0,0,0
15.8,0.122822885596213,6.5283203125,0,3,0,0,0,0
15.9,0.12358406705502,6.5966796875,0,3,0,0,0,0
16,0.124344943582427,6.552734375,0,3,0,0,0,0
16.1,0.125105513301047,6.5478515625,0,3,0,0,0,0
16.2,0.125865774334249,6.5087890625,0,3,0,0,0,0
16.3,0.126625724806164,6.5478515625,0,3,0,0,0,0
16.4,0.127385362841691,6.50390625,0,3,0,0,0,0
16.5,0.128144686566498,6.552734375,0,3,0,0,0,0
16.6,0.12890369410703,6.5283203125,0,3,0,0,0,0
16.7,0.12966238359051,6.5869140625,0,3,0,0,0,0
16.8,0.130420753144948,6.5234375,0,3,0,0,0,0
16.9,0.131178800899143,6.4990234375,0,3,0,0,0,0
17,0.131936524982686,6.5380859375,0,3,0,0,0,0
