t,r,y_raw,y_avg,ym,e,e_ad,u,theta1,theta2,theta3,y_pb,Ts,vent
9.300161,0.072784,4.866901,4.814206,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
9.400164,0.073561,4.876703,4.827687,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
9.500168,0.074338,4.847295,4.833814,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
9.600169,0.075114,4.857098,4.839941,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.700173,0.075891,4.866901,4.848520,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
9.800172,0.076667,4.896306,4.859548,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.900177,0.077443,4.896306,4.869351,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.000181,0.078219,4.915909,4.877927,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.100185,0.078994,4.915909,4.884053,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.200188,0.079770,4.896306,4.886504,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.300192,0.080545,4.955110,4.899981,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
10.400193,0.081320,4.945310,4.911007,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.500192,0.082095,4.964910,4.923258,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.600193,0.082870,4.955110,4.930609,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.700193,0.083644,4.945310,4.936734,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.800192,0.084418,4.964910,4.942859,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
10.900193,0.085192,5.004104,4.953884,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.000197,0.085966,4.994306,4.966134,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
11.100196,0.086740,5.004104,4.972258,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.200197,0.087513,4.984507,4.977158,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.300201,0.088286,5.004104,4.982057,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
11.400200,0.089059,5.013902,4.989406,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
