t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,vent
12.646,0,6.3412,2.049224,3.614366,0,0,-13.92763,0,0,1,1.48,2.77,6
12.746,0,6.3412,2.072381,3.608941,0,0,-13.92286,0,0,1,1.48,2.77,6
12.846,0,6.3412,2.095504,3.608217,0,0,-13.93504,0,0,1,1.48,2.77,6
12.946,0,6.3412,2.118591,3.606409,0,0,-13.94135,0,0,1,1.48,2.77,6
13.046,0,6.3412,2.141641,3.603154,0,0,-13.94028,0,0,1,1.48,2.77,6
13.146,0,6.3412,2.164652,3.608941,0,0,-13.97368,0,0,1,1.48,2.77,6
13.245,0,6.3412,2.187623,3.607856,0,0,-13.97856,0,0,1,1.48,2.77,6
13.345,0,6.3412,2.210552,3.607494,0,0,-13.98481,0,0,1,1.48,2.77,6
13.445,0,6.3412,2.233438,3.608941,0,0,-13.99684,0,0,1,1.48,2.77,6
13.546,0,6.3412,2.25628,3.610388,0,0,-14.00755,0,0,1,1.48,2.77,6
13.646,0,6.3412,2.279075,3.604601,0,0,-13.98801,0,0,1,1.48,2.77,6
13.745,0,6.3412,2.301823,3.607494,0,0,-14.00138,0,0,1,1.48,2.77,6
13.846,0,6.3412,2.324522,3.607856,0,0,-14.00342,0,0,1,1.48,2.77,6
13.946,0,6.3412,2.347171,3.599175,0,0,-13.96794,0,0,1,1.48,2.77,6
14.046,0,6.3412,2.369769,3.601707,0,0,-13.97531,0,0,1,1.48,2.77,6
14.146,0,6.3412,2.392314,3.596282,0,0,-13.94967,0,0,1,1.48,2.77,6
14.246,0,6.3412,2.414806,3.591218,0,0,-13.92372,0,0,1,1.48,2.77,6
14.346,0,6.3412,2.437242,3.59158,0,0,-13.91777,0,0,1,1.48,2.77,6
14.445,0,6.3412,2.459623,3.60026,0,0,-13.94378,0,0,1,1.48,2.77,6
14.545,0,6.3412,2.481946,3.594112,0,0,-13.90973,0,0,1,1.48,2.77,6
14.646,0,6.3412,2.504211,3.590856,0,0,-13.8855,0,0,1,1.48,2.77,6
14.746,0,6.3412,2.526416,3.58941,0,0,-13.86696,0,0,1,1.48,2.77,6
14.846,0,6.3412,2.548562,3.590495,0,0,-13.85713,0,0,1,1.48,2.77,6
14.946,0,6.3412,2.570645,3.589771,0,0,-13.83884,0,0,1,1.48,2.77,6
15.045,0,6.3412,2.592666,3.581452,0,0,-13.78882,0,0,1,1.48,2.77,6
15.146,0,6.3412,2.614624,3.573495,0,0,-13.73837,0,0,1,1.48,2.77,6
15.246,0,6.3412,2.636518,3.583623,0,0,-13.75843,0,0,1,1.48,2.77,6
15.346,0,6.3412,2.658346,3.583261,0,0,-13.73596,0,0,1,1.48,2.77,6
15.446,0,6.3412,2.680109,3.573857,0,0,-13.67604,0,0,1,1.48,2.77,6
15.544,0,6.3412,2.701804,3.586154,0,0,-13.70101,0,0,1,1.48,2.77,6
15.646,0,6.3412,2.723431,3.577112,0,0,-13.64024,0,0,1,1.48,2.77,6
15.746,0,6.3412,2.74499,3.570602,0,0,-13.58772,0,0,1,1.48,2.77,6
15.846,0,6.3412,2.76648,3.582538,0,0,-13.6073,0,0,1,1.48,2.77,6
15.946,0,6.3412,2.787899,3.57024,0,0,-13.52955,0,0,1,1.48,2.77,6
16.045,0,6.3412,2.809248,3.570602,0,0,-13.50037,0,0,1,1.48,2.77,6
16.146,0,6.3412,2.830524,3.57024,0,0,-13.46711,0,0,1,1.48,2.77,6
16.246,0,6.3412,2.851729,3.572049,0,0,-13.44131,0,0,1,1.48,2.77,6
