t,r,y,ym,u,theta1,theta2,theta3
1359.1,5.29958167168985,5.36814285258113,5.38734836938108,7.86783445727827,0.269450339773001,0.0227982304578792,1.21169645518092
1359.2,5.29895249152876,5.36771300904927,5.38691001322362,7.86711092689016,0.269464893849339,0.0227982175918588,1.21171094053426
1359.3,5.29832257373211,5.36728223320293,5.38647070240417,7.8663861429463,0.269479440874601,0.0227982046716968,1.21172541828902
1359.4,5.29769191985418,5.36685064407757,5.38603043800667,7.86566016595799,0.269493980829594,0.0227981916982016,1.21173988842683
1359.5,5.29706053145102,5.36641807229653,5.38558922111745,7.86493288521496,0.269508513605792,0.0227981786708427,1.21175435084037
1359.6,5.29642841008053,5.36598456542286,5.38514705282515,7.86420436505514,0.269523039223811,0.022798165590454,1.21176880555092
1359.7,5.29579555730241,5.36555013608533,5.38470393422078,7.86347460260837,0.269537557669094,0.0227981524563316,1.21178325254467
1359.8,5.29516197467815,5.36511478008349,5.3842598663977,7.86274359450586,0.269552068918313,0.0227981392693676,1.21179769179918
1359.9,5.29452766377106,5.36467851179976,5.3838148504516,7.8620113505066,0.269566572952193,0.0227981260288784,1.21181212329596
1360,5.29389262614624,5.36424140467347,5.38336888748051,7.86127790541362,0.269581069741367,0.0227981127357507,1.21182654700655
1360.1,5.29325686337057,5.36380332961362,5.3829219785848,7.86054317921625,0.26959555920171,0.0227980993893775,1.21184096284797
1360.2,5.29262037701275,5.36336432655304,5.38247412486717,7.85980722322514,0.269610041347699,0.0227980859906395,1.21185537083537
1360.3,5.29198316864324,5.36292414829379,5.38202532743265,7.85906990703108,0.269624516164436,0.0227980725388004,1.21186977095467
1360.4,5.29134523983429,5.36248326479221,5.38157558738862,7.85833152454179,0.269638983825065,0.0227980590346063,1.21188416337886
1360.5,5.29070659215992,5.36204184831167,5.38112490584476,7.857592054281,0.269653444147647,0.0227980454773434,1.21189854792766
1360.6,5.29006722719592,5.36159931845829,5.38067328391308,7.85685116671832,0.269667896820603,0.0227980318684726,1.21191292429193
1360.7,5.28942714651988,5.36115579657186,5.38022072270791,7.85610905779038,0.269682341972839,0.0227980182071003,1.21192729260061
1360.8,5.28878635171113,5.36071135561327,5.37976722334591,7.85536573841637,0.269696779642162,0.0227980044940151,1.21194165289211
1360.9,5.28814484435077,5.36026600379977,5.37931278694603,7.85462119775139,0.269711209812011,0.0227979907285382,1.21195600515068
1361,5.28750262602164,5.35981948002046,5.37885741462956,7.85387530561037,0.26972563246042,0.0227979769115483,1.21197034935526
