t,r,y,ym,u,theta1,theta2,theta3
209.3,2,2.5651311958519,2.58815837689195,2.27591042438999,1.30760703292395,8.89201844389583,0.164546760345406
209.4,2,2.54970281570163,2.57588279680545,2.29121042906954,1.30760757662954,8.89201843747431,0.164547058335364
209.5,2,2.53466445236758,2.56386342299328,2.30622874959058,1.30760819039693,8.89201843023699,0.164547395518178
209.6,2,2.52000733493719,2.55209490811914,2.32096590145654,1.30760887009883,8.89201842223683,0.164547769829042
209.7,2,2.50572282946674,2.54057201645214,2.33542275808635,1.30760961176746,8.89201841352509,0.164548179281703
209.8,2,2.49180244063331,2.52928962153745,2.34960052193379,1.30761041159083,8.89201840415135,0.164548621966049
209.9,2,2.47823781306275,2.51824270391558,2.36350069737922,1.30761126590878,8.89201839416347,0.164549096045737
210,2,2.4650207323569,2.50742634888927,2.3771250652837,1.30761217120914,8.89201838360764,0.16454959975586
210.1,2,2.45214312584184,2.49683574433696,2.39047565912162,1.30761312412371,8.89201837252831,0.164550131400661
210.2,2,2.4395970630577,2.48646617857191,2.40355474259748,1.30761412142437,8.89201836096825,0.164550689351298
210.3,2,2.42737475600915,2.47631303824602,2.4163647886683,1.307615160019,8.89201834896858,0.164551272043651
210.4,2,2.41546855919499,2.46637180629735,2.42890845988894,1.30761623694761,8.89201833656873,0.164551877976182
210.5,2,2.40387096943356,2.45663805994056,2.44118859000727,1.30761734937831,8.8920183238065,0.16455250570785
210.6,2,2.3925746255002,2.44710746869919,2.45320816673917,1.30761849460341,8.89201831071809,0.164553153856064
210.7,2,2.38157230759175,2.4377757924791,2.4649703156572,1.3076196700355,8.89201829733808,0.164553821094704
210.8,2,2.37085693663209,2.42863887968206,2.47647828512499,1.30762087320361,8.89201828369953,0.164554506152178
210.9,2,2.36042157343216,2.41969266535875,2.48773543222351,1.30762210174939,8.89201826983395,0.164555207809545
211,2,2.35025941771672,2.41093316940028,2.49874520961024,1.30762335342334,8.89201825577135,0.164555924898677
211.1,2,2.34036380702967,2.40235649476745,2.50951115325808,1.30762462608111,8.8920182415403,0.16455665630048
211.2,2,2.33072821552874,2.39395882575704,2.52003687102097,1.30762591767989,8.89201822716794,0.16455740094316
211.3,2,2.32134625267981,2.38573642630415,2.53032603198297,1.30762722627479,8.89201821268001,0.164558157800547
211.4,2,2.31221166186059,2.37768563832014,2.54038235654067,1.30762855001536,8.89201819810092,0.16455892589046
211.5,2,2.30331831888239,2.36980288006509,2.55020960718093,1.3076298871422,8.89201818345377,0.164559704273128
211.6,2,2.29466023043871,2.36208464455437,2.55981157991017,1.30763123598352,8.89201816876037,0.164560492049651
211.7,2,2.28623153248817,2.35452749799836,2.56919209629802,1.30763259495195,8.89201815404132,0.164561288360517
211.8,2,2.27802648857941,2.34712807827481,2.57835499609799,1.30763396254128,8.89201813931601,0.164562092384161
211.9,2,2.27003948812466,2.33988309343305,2.58730413041367,1.3076353373234,8.89201812460271,0.164562903335568
212,2,2.26226504462839,2.33278932022942,2.59604335537617,1.30763671794521,8.89201810991854,0.164563720464924
212.1,2,2.25469779387712,2.32584360269328,2.6045765263019,1.30763810312568,8.89201809527958,0.164564543056309
212.2,2,2.24733249209586,2.31904285072291,2.61290749230439,1.30763949165303,8.89201808070086,0.16456537042643
212.3,2,2.24016399871483,2.31238403871079,2.62103870529159,1.30764088238184,8.89201806619642,0.164566201923403
212.4,2,2.23318732422377,2.30586420419751,2.62897707012361,1.30764227423074,8.89201805177934,0.164567036925742
212.5,2,2.22639757158347,2.29948044655375,2.63672440308478,1.30764366617905,8.89201803746179,0.164567874840822
212.6,2,2.21978996034615,2.2932299256899,2.64428481789088,1.30764505726469,8.89201802325507,0.164568715104032
212.7,2,2.21335982031801,2.28710986079244,2.65166200908371,1.30764644658163,8.89201800916961,0.164569557177663
212.8,2,2.20710259035715,2.28111752908681,2.65885970708026,1.30764783327752,8.89201799521506,0.164570400549887
212.9,2,2.20101381629652,2.27525026462607,2.66588159764855,1.3076492165514,8.89201798140028,0.164571244733758
213,2,2.19508914901395,2.26950545710483,2.67273133245368,1.30765059565143,8.8920179677334,0.164572089266251
213.1,2,2.18932434247894,2.26388055069795,2.67941252442839,1.30765196987274,8.89201795422185,0.164572933707338
213.2,2,2.18371525180838,2.25837304292346,2.6859287460141,1.30765333855536,8.89201794087238,0.164573777639086
213.3,2,2.17825783132846,2.25298048352924,2.6922835271709,1.30765470108222,8.8920179276911,0.164574620664801
213.4,2,2.17294813264587,2.24770047340289,2.69848035367933,1.30765605687718,8.89201791468353,0.164575462408186
213.5,2,2.16778230273027,2.24253066350443,2.7045226656178,1.30765740540318,8.89201790185458,0.164576302512545
213.6,2,2.16275658200973,2.23746875382117,2.71041385602935,1.30765874616042,8.89201788920865,0.16457714064
213.7,2,2.15786730248098,2.23251249234449,2.71615726975408,1.30766007868465,8.89201787674958,0.16457797647075
213.8,2,2.1531108858359,2.22765967406794,2.72175620242247,1.30766140254549,8.89201786448074,0.164578809702344
213.9,2,2.14848384160568,2.22290814000622,2.72721389959419,1.30766271734481,8.89201785240503,0.164579640048991
214,2,2.14398276532402,2.21825577623468,2.73253355603646,1.30766402271521,8.89201784052491,0.164580467240885
214.1,2,2.13960433671026,2.21370051294885,2.73771831512856,1.3076653183185,8.89201782884241,0.164581291023562
214.2,2,2.13534531787375,2.20924032354359,2.74277126838573,1.30766660384432,8.89201781735918,0.164582111157279
214.3,2,2.13120255154012,2.20487322371147,2.74769545509263,1.30766787900871,8.8920178060765,0.16458292741641
214.4,2,2.12717300637187,2.20059727055997,2.75249810919058,1.30766914355286,8.8920177949953,0.164583739588872
214.5,2,2.12325371855824,2.19641056174711,2.75718135914259,1.30767039724097,8.89201778411619,0.164584547475049
214.6,2,2.11944188748288,2.19231123463508,2.76175605365116,1.30767163985928,8.89201777343947,0.164585350887364
214.7,2,2.1157344198685,2.18829746546159,2.76619212402488,1.30767287121343,8.89201776296518,0.164586149648806
214.8,2,2.11212850838217,2.1843674685285,2.77051132523763,1.3076740911335,8.89201775269306,0.16458694359645
214.9,2,2.10862161397832,2.18051949540734,2.77473419307892,1.30767529946935,8.8920177426226,0.164587732578622
215,2,2.10521059544247,2.17675183416147,2.77880307480143,1.30767649608625,8.89201773275305,0.164588516452283
215.1,2,2.10189349983566,2.17306280858446,2.78282107824203,1.30767768087509,8.89201772308341,0.164589295089896
215.2,2,2.09866752894819,2.16945077745435,2.78670938260527,1.30767885373281,8.89201771361254,0.164590068366786
215.3,2,2.09553051840804,2.16591413380344,2.79052151858154,1.30768001457662,8.89201770433909,0.164590836170653
215.4,2,2.09247938876377,2.16245130420345,2.79417209026699,1.3076811633338,8.89201769526156,0.16459159839499
215.5,2,2.0895124334514,2.15906074806541,2.79778094353918,1.30768229995681,8.89201768637821,0.164592354949289
215.6,2,2.08662860524378,2.15574095695436,2.80140533743157,1.30768342440111,8.89201767768723,0.16459310574447
215.7,2,2.08382290884348,2.15249045391819,2.80468767665261,1.30768453661494,8.89201766918683,0.164593850686106
215.8,2,2.0810946304139,2.14930779283055,2.80800773624312,1.30768563660316,8.89201766087475,0.164594589717283
215.9,2,2.07844297644069,2.14619155774755,2.81135739378474,1.30768672435836,8.89201765274881,0.16459532277269
216,2,2.07586461874981,2.14314036227775,2.81450691484681,1.3076877998628,8.89201764480685,0.164596049779857
216.1,2,2.07335749726694,2.14015284896537,2.81756636539536,1.30768886312905,8.8920176370465,0.164596770686663
216.2,2,2.07091963766764,2.1372276886864,2.82054078879922,1.30768991417993,8.89201762946527,0.164597485447975
216.3,2,2.06854920561458,2.13436358005727,2.8234402342886,1.3076909530474,8.89201762206063,0.164598194024988
216.4,2,2.0662443401001,2.13155924885583,2.82625989701801,1.30769197977059,8.89201761482995,0.164598896384007
216.5,2,2.06400330554456,2.12881344745455,2.82900866079093,1.30769299439648,8.89201760777057,0.164599592496996
216.6,2,2.06182433428446,2.12612495426534,2.83168136148178,1.30769399697825,8.89201760087977,0.164600282340504
216.7,2,2.05970578315521,2.1234925731962,2.83428692115149,1.30769498757598,8.8920175941548,0.164600965896268
216.8,2,2.05764597316375,2.12091513311897,2.8368199586759,1.30769596625505,8.89201758759287,0.164601643150143
216.9,2,2.05564334904572,2.11839148734839,2.83928944259294,1.30769693308692,8.89201758119116,0.164602314092737
217,2,2.05369631620003,2.11592051313192,2.84168979019931,1.30769788814754,8.89201757494685,0.164602978718347
217.1,2,2.05180340294235,2.11350111115019,2.84403000714742,1.30769883151818,8.89201756885707,0.16460363702562
217.2,2,2.04996309498337,2.11113220502801,2.84630432515929,1.30769976328387,8.89201756291897,0.164604289016494
217.3,2,2.04817400005978,2.10881274085542,2.84852177455029,1.30770068353427,8.89201755712967,0.164604934696885
217.4,2,2.04643468031252,2.10654168671884,2.8506764210576,1.30770159236214,8.89201755148632,0.164605574075631
217.5,2,2.04474381889029,2.104318032242,2.85277730308525,1.30770248986429,8.89201754598604,0.164606207165204
217.6,2,2.04310005068252,2.10214078813639,2.85481834466871,1.30770337613999,8.89201754062598,0.164606833980662
217.7,2,2.04150213038107,2.10000898576117,2.85680857059505,1.30770425129202,8.89201753540327,0.164607454540373
217.8,2,2.03994876214172,2.09792167669219,2.85874179303374,1.30770511542511,8.8920175303151,0.164608068864983
217.9,2,2.03843876846182,2.09587793230009,2.86062699554687,1.30770596864696,8.89201752535863,0.164608676978154
218,2,2.03697091947903,2.09387684333712,2.86245791443467,1.3077068110668,8.89201752053107,0.164609278905534
218.1,2,2.03554410188251,2.09191751953263,2.86424345802997,1.30770764279632,8.89201751582963,0.164609874675515
218.2,2,2.03415714870114,2.08999908919702,2.86597732923407,1.30770846394835,8.89201751125157,0.164610464318215
218.3,2,2.03280900732042,2.08812069883388,2.86766832058235,1.30770927463778,8.89201750679416,0.164611047866239
218.4,2,2.03149857075772,2.08628151276035,2.86931015048147,1.30771007498022,8.89201750245469,0.164611625353678
218.5,2,2.03022484371428,2.08448071273524,2.87091144875816,1.30771086509304,8.89201749823049,0.164612196816874
218.6,2,2.02898677647264,2.08271749759508,2.87246600420581,1.30771164509396,8.89201749411894,0.164612762293437
218.7,2,2.02778342778315,2.08099108289765,2.87398223136049,1.30771241510212,8.89201749011742,0.164613321823002
218.8,2,2.02661380263844,2.07930070057299,2.87545404932805,1.30771317523675,8.89201748622336,0.164613875446281
218.9,2,2.02547701068732,2.07764559858168,2.87688960027469,1.30771392561817,8.89201748243423,0.1646144232058
219,2,2.0243721092315,2.07602504058029,2.87828299714062,1.30771466636657,8.89201747874754,0.164614965144985
219.1,2,2.02329825578853,2.07443830559378,2.87964204984905,1.30771539760294,8.89201747516082,0.164615501308879
