time,spir_n,snimac1_n
242.5,0,0.327329729731859
242.6,0,0.330571046756606
242.7,0,0.330557155448019
242.8,0,0.304501597472765
242.9,0,0.306115310330845
243,0,0.304473814855591
243.1,0,0.293066694380337
243.2,0,0.30770124057175
243.3,0,0.29466651592983
243.4,0,0.297907832954577
243.5,0,0.296266337479323
243.6,0,0.283231612837403
243.7,0,0.275079700695482
243.8,0,0.296224663553562
243.9,0,0.278307126411642
244,0,0.281548443436388
244.1,0,0.281534552127801
244.2,0,0.268499827485881
244.3,0,0.276623957010627
244.4,0,0.263589232368707
244.5,0,0.265202945226786
244.6,0,0.257051033084866
244.7,0,0.270057975109612
244.8,0,0.240747208801025
244.9,0,0.247243734159105
245,0,0.253740259517185
245.1,0,0.234195118208598
245.2,0,0.245574456066678
245.3,0,0.243932960591424
245.4,0,0.22764302761617
245.5,0,0.235767157140917
245.6,0,0.23575326583233
245.7,0,0.219463332857076
245.8,0,0.225959858215156
245.9,0,0.214552737739902
246,0,0.217794054764648
246.1,0,0.211269746789395
246.2,0,0.217766272147474
246.3,0,0.198221130838887
246.4,0,0.191696822863634
246.5,0,0.227490223221714
246.6,0,0.203062269413127
246.7,0,0.19816556560454
246.8,0,0.203034486795953
246.9,0,0.191627366320699
247,0,0.194868683345446
247.1,0,0.183461562870192
247.2,0,0.191585692394938
247.3,0,0.176923363586351
247.4,0,0.198068326444431
247.5,0,0.189916414302511
247.6,0,0.191530127160591
247.7,0,0.191516235852004
247.8,0,0.176853907043417
247.9,0,0.178467619901496
248,0,0.168688103592909
248.1,0,0.188205462284322
248.2,0,0.163777508475735
248.3,0,0.183294867167149
248.4,0,0.171887746691895
248.5,0,0.176756667883308
248.6,0,0.155583922408054
248.7,0,0.162080447766134
248.8,0,0.17508738979088
248.9,0,0.165307873482293
249,0,0.15878356550704
249.1,0,0.158769674198453
249.2,0,0.155500574556532
249.3,0,0.160369495747945
249.4,0,0.160355604439358
249.5,0,0.153831296464105
249.6,0,0.157072613488851
249.7,0,0.142410284680264
249.8,0,0.144023997538344
249.9,0,0.13749968956309
250,0,0.14887902742117
250.1,0,0.127706281945916
250.2,0,0.127692390637329
250.3,0,0.134188915995409
250.4,0,0.130919816353489
250.5,0,0.126023112544902
250.6,0,0.127636825402981
250.7,0,0.135760954927728
250.8,0,0.137374667785807
250.9,0,0.153636818143887
251,0,0.137346885168633
251.1,0,0.142215806360046
251.2,0,0.13731910255146
251.3,0,0.125911982076206
251.4,0,0.135663715767619
251.5,0,0.125884199459032
251.6,0,0.122615099817112
251.7,0,0.111207979341858
251.8,0,0.116076900533271
251.9,0,0.135594259224684
252,0,0.12906995124943
252.1,0,0.117662830774177
252.2,0,0.129042168632256
252.3,0,0.112752235657003
252.4,0,0.109483136015082
252.5,0,0.122490078039829
252.6,0,0.128986603397908
252.7,0,0.120834691255988
252.8,0,0.119193195780735
252.9,0,0.109413679472148
253,0,0.130558642330227
253.1,0,0.11101350102164
253.2,0,0.125648047213053
253.3,0,0.1044753017378
253.4,0,0.117482243762546
253.5,0,0.120723560787292
253.6,0,0.114199252812039
253.7,0,0.114185361503452
253.8,0,0.0848745951948651
253.9,0,0.106019558052945
254,0,0.114143687577691
254.1,0,0.123895421269104
254.2,0,0.120626321627184
254.3,0,0.115729617818597
254.4,0,0.109205309843343
254.5,0,0.128722668534756
254.6,0,0.104294714726169
254.7,0,0.107536031750916
254.8,0,0.109149744608995
254.9,0,0.120529082467075
255,0,0.130280816158488
