t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l
413.3,0,4.4884,5.62907576307549,5.751953125,6.17659505208333,2.24526663731397,2.24526663731397,0,3.99060420751648,1,1.84,3.58
413.4,0,4.4884,5.62253654426131,5.732421875,6.17659505208333,2.28863334672252,2.28863334672252,0,3.99060420751648,1,1.84,3.58
413.5,0,4.4884,5.61601404224711,5.732421875,6.17659505208333,2.25485136551399,2.25485136551399,0,3.99060420751648,1,1.84,3.58
413.6,0,4.4884,5.60950857661876,5.7666015625,6.17659505208333,2.08396220470789,2.08396220470789,0,3.99060420751648,1,1.84,3.58
413.7,0,4.4884,5.60302045889875,5.7275390625,6.17659505208333,2.20326322481618,2.20326322481618,0,3.99060420751648,1,1.84,3.58
413.8,0,4.4884,5.59654999267548,5.72265625,6.17659505208333,2.18819630767102,2.18819630767102,0,3.99060420751648,1,1.84,3.58
413.9,0,4.4884,5.59009747373079,5.7080078125,6.17659505208333,2.21215254387953,2.21215254387953,0,3.99060420751648,1,1.84,3.58
414,0,4.4884,5.58366319016572,5.68359375,6.17659505208333,2.27581793590542,2.27581793590542,0,3.99060420751648,1,1.84,3.58
414.1,0,4.4884,5.57724742252459,5.712890625,6.17659505208333,2.12597222615247,2.12597222615247,0,3.99060420751648,1,1.84,3.58
414.2,0,4.4884,5.57085044391725,5.712890625,6.17659505208333,2.09088928754986,2.09088928754986,0,3.99060420751648,1,1.84,3.58
414.3,0,4.4884,5.56447252013982,5.673828125,6.17659505208333,2.21168477976432,2.21168477976432,0,3.99060420751648,1,1.84,3.58
414.4,0,4.4884,5.55811390979354,5.6787109375,6.17659505208333,2.15906419603898,2.15906419603898,0,3.99060420751648,1,1.84,3.58
414.5,0,4.4884,5.55177486440217,5.654296875,6.17659505208333,2.22292247253406,2.22292247253406,0,3.99060420751648,1,1.84,3.58
414.6,0,4.4884,5.54545562852765,5.6396484375,6.17659505208333,2.24906273829412,2.24906273829412,0,3.99060420751648,1,1.84,3.58
414.7,0,4.4884,5.53915643988417,5.6787109375,6.17659505208333,2.06102248709217,2.06102248709217,0,3.99060420751648,1,1.84,3.58
414.8,0,4.4884,5.53287752945072,5.6689453125,6.17659505208333,2.06520053052525,2.06520053052525,0,3.99060420751648,1,1.84,3.58
414.9,0,4.4884,5.52661912158195,5.6396484375,6.17659505208333,2.1478296542367,2.1478296542367,0,3.99060420751648,1,1.84,3.58
415,0,4.4884,5.5203814341176,5.6396484375,6.17659505208333,2.11496685226507,2.11496685226507,0,3.99060420751648,1,1.84,3.58
415.1,0,4.4884,5.51416467849039,5.6396484375,6.17659505208333,2.08175113951945,2.08175113951945,0,3.99060420751648,1,1.84,3.58
415.2,0,4.4884,5.50796905983231,5.625,6.17659505208333,2.10677855175644,2.10677855175644,0,3.99060420751648,1,1.84,3.58
415.3,0,4.4884,5.50179477707954,5.64453125,6.17659505208333,1.99576425493363,1.99576425493363,0,3.99060420751648,1,1.84,3.58
415.4,0,4.4884,5.49564202307584,5.6103515625,6.17659505208333,2.09788043581441,2.09788043581441,0,3.99060420751648,1,1.84,3.58
415.5,0,4.4884,5.48951098467451,5.5810546875,6.17659505208333,2.18251411444939,2.18251411444939,0,3.99060420751648,1,1.84,3.58
415.6,0,4.4884,5.4834018428389,5.595703125,6.17659505208333,2.09307573790916,2.09307573790916,0,3.99060420751648,1,1.84,3.58
415.7,0,4.4884,5.47731477274153,5.576171875,6.17659505208333,2.13899136776841,2.13899136776841,0,3.99060420751648,1,1.84,3.58
415.8,0,4.4884,5.47124994386183,5.5859375,6.17659505208333,2.0687495550915,2.0687495550915,0,3.99060420751648,1,1.84,3.58
415.9,0,4.4884,5.46520752008244,5.6005859375,6.17659505208333,1.9779579810443,1.9779579810443,0,3.99060420751648,1,1.84,3.58
416,0,4.4884,5.45918765978426,5.5712890625,6.17659505208333,2.06158955063234,2.06158955063234,0,3.99060420751648,1,1.84,3.58
416.1,0,4.4884,5.45319051594003,5.537109375,6.17659505208333,2.16647262706533,2.16647262706533,0,3.99060420751648,1,1.84,3.58
416.2,0,4.4884,5.44721623620671,5.546875,6.17659505208333,2.09763868799785,2.09763868799785,0,3.99060420751648,1,1.84,3.58
