time,y13_data,y23_data,y16_data,y26_data,y19_data,y29_data,y3n_model,y3f_model,y6n_model,y6f_model,y9n_model,y9f_model
217.7,0.83984375,0.62255859375,0.68603515625,0.528971354166667,0.691731770833333,0.517578125,0.826807589964975,0.57063019301174,0.687254281607174,0.486151731341495,0.684340683316784,0.489237166980576
217.8,0.8349609375,0.603841145833333,0.704752604166667,0.513509114583333,0.703938802083333,0.52490234375,0.826807589965588,0.570630193017149,0.687254281607175,0.486151731341495,0.684340683316784,0.489237166980582
217.9,0.8544921875,0.62744140625,0.719401041666667,0.52490234375,0.72265625,0.5419921875,0.826807589966195,0.570630193022507,0.687254281607175,0.486151731341495,0.684340683316784,0.489237166980589
218,0.87158203125,0.633951822916667,0.718587239583333,0.541178385416667,0.72021484375,0.54931640625,0.826807589966796,0.570630193027814,0.687254281607175,0.486151731341496,0.684340683316784,0.489237166980596
218.1,0.873209635416667,0.6201171875,0.70068359375,0.528971354166667,0.7177734375,0.5419921875,0.82680758996739,0.57063019303307,0.687254281607175,0.486151731341496,0.684340683316784,0.489237166980602
218.2,0.846354166666667,0.619303385416667,0.703938802083333,0.519205729166667,0.708821614583333,0.516764322916667,0.826807589967978,0.570630193038277,0.687254281607175,0.486151731341496,0.684340683316784,0.489237166980609
218.3,0.847981770833333,0.602213541666667,0.69580078125,0.524088541666667,0.704752604166667,0.5322265625,0.826807589968559,0.570630193043434,0.687254281607175,0.486151731341496,0.684340683316784,0.489237166980615
218.4,0.831705729166667,0.616861979166667,0.714518229166667,0.5224609375,0.716959635416667,0.550944010416667,0.826807589969134,0.570630193048543,0.687254281607175,0.486151731341497,0.684340683316784,0.489237166980621
218.5,0.848795572916667,0.60791015625,0.709635416666667,0.53955078125,0.725911458333333,0.546061197916667,0.826807589969703,0.570630193053603,0.687254281607175,0.486151731341497,0.684340683316784,0.489237166980627
218.6,0.855305989583333,0.616048177083333,0.712076822916667,0.53466796875,0.708821614583333,0.53466796875,0.826807589970266,0.570630193058615,0.687254281607175,0.486151731341497,0.684340683316784,0.489237166980633
218.7,0.859375,0.616861979166667,0.712076822916667,0.528971354166667,0.709635416666667,0.535481770833333,0.826807589970823,0.57063019306358,0.687254281607175,0.486151731341497,0.684340683316784,0.489237166980639
218.8,0.85693359375,0.61279296875,0.702311197916667,0.511067708333333,0.712890625,0.524088541666667,0.826807589971374,0.570630193068497,0.687254281607175,0.486151731341497,0.684340683316784,0.489237166980645
218.9,0.831705729166667,0.606282552083333,0.69580078125,0.516764322916667,0.712076822916667,0.52001953125,0.826807589971919,0.570630193073368,0.687254281607175,0.486151731341498,0.684340683316784,0.489237166980651
219,0.846354166666667,0.609537760416667,0.712890625,0.523274739583333,0.73486328125,0.546061197916667,0.826807589972459,0.570630193078193,0.687254281607175,0.486151731341498,0.684340683316784,0.489237166980657
219.1,0.857747395833333,0.628255208333333,0.711263020833333,0.53955078125,0.729166666666667,0.531412760416667,0.826807589972992,0.570630193082972,0.687254281607176,0.486151731341498,0.684340683316784,0.489237166980662
219.2,0.858561197916667,0.61767578125,0.725911458333333,0.526529947916667,0.706380208333333,0.535481770833333,0.82680758997352,0.570630193087706,0.687254281607176,0.486151731341498,0.684340683316784,0.489237166980668
219.3,0.855305989583333,0.618489583333333,0.709635416666667,0.5126953125,0.7080078125,0.533040364583333,0.826807589974042,0.570630193092395,0.687254281607176,0.486151731341499,0.684340683316784,0.489237166980674
219.4,0.838216145833333,0.609537760416667,0.71044921875,0.5078125,0.70068359375,0.528971354166667,0.826807589974559,0.570630193097039,0.687254281607176,0.486151731341499,0.684340683316784,0.489237166980679
219.5,0.843912760416667,0.6103515625,0.714518229166667,0.542805989583333,0.707194010416667,0.537923177083333,0.82680758997507,0.57063019310164,0.687254281607176,0.486151731341499,0.684340683316784,0.489237166980684
219.6,0.865885416666667,0.619303385416667,0.711263020833333,0.537923177083333,0.712890625,0.550944010416667,0.826807589975576,0.570630193106196,0.687254281607176,0.486151731341499,0.684340683316784,0.48923716698069
219.7,0.859375,0.625813802083333,0.697428385416667,0.5419921875,0.70556640625,0.555826822916667,0.826807589976076,0.57063019311071,0.687254281607176,0.486151731341499,0.684340683316784,0.489237166980695
219.8,0.856119791666667,0.618489583333333,0.70068359375,0.511881510416667,0.708821614583333,0.53466796875,0.826807589976571,0.570630193115181,0.687254281607176,0.4861517313415,0.684340683316784,0.4892371669807
219.9,0.846354166666667,0.62255859375,0.69091796875,0.511067708333333,0.6884765625,0.525716145833333,0.82680758997706,0.570630193119609,0.687254281607176,0.4861517313415,0.684340683316784,0.489237166980705
220,0.8349609375,0.601399739583333,0.703938802083333,0.5224609375,0.694986979166667,0.531412760416667,0.826807589977545,0.570630193123996,0.687254281607176,0.4861517313415,0.684340683316784,0.48923716698071
220.1,0.8544921875,0.61767578125,0.714518229166667,0.524088541666667,0.73486328125,0.53955078125,0.826807589978024,0.570630193128341,0.687254281607176,0.4861517313415,0.684340683316784,0.489237166980716
220.2,0.858561197916667,0.638834635416667,0.713704427083333,0.525716145833333,0.725911458333333,0.537109375,0.826807589978498,0.570630193132645,0.687254281607176,0.4861517313415,0.684340683316784,0.48923716698072
220.3,0.847981770833333,0.6298828125,0.714518229166667,0.519205729166667,0.71044921875,0.535481770833333,0.826807589978967,0.570630193136908,0.687254281607176,0.4861517313415,0.684340683316784,0.489237166980725
220.4,0.858561197916667,0.623372395833333,0.697428385416667,0.501302083333333,0.703125,0.52734375,0.826807589979431,0.57063019314113,0.687254281607176,0.486151731341501,0.684340683316784,0.48923716698073
220.5,0.8447265625,0.609537760416667,0.701497395833333,0.501302083333333,0.712076822916667,0.519205729166667,0.82680758997989,0.570630193145313,0.687254281607176,0.486151731341501,0.684340683316784,0.489237166980735
220.6,0.851236979166667,0.611165364583333,0.694173177083333,0.53466796875,0.721842447916667,0.537923177083333,0.826807589980344,0.570630193149456,0.687254281607176,0.486151731341501,0.684340683316784,0.48923716698074
220.7,0.865071614583333,0.630696614583333,0.72998046875,0.542805989583333,0.718587239583333,0.541178385416667,0.826807589980793,0.57063019315356,0.687254281607176,0.486151731341501,0.684340683316784,0.489237166980744
220.8,0.872395833333333,0.635579427083333,0.714518229166667,0.531412760416667,0.724283854166667,0.531412760416667,0.826807589981238,0.570630193157624,0.687254281607176,0.486151731341501,0.684340683316784,0.489237166980749
220.9,0.84716796875,0.625,0.696614583333333,0.52734375,0.7177734375,0.537923177083333,0.826807589981677,0.570630193161651,0.687254281607176,0.486151731341502,0.684340683316784,0.489237166980753
221,0.843098958333333,0.60791015625,0.697428385416667,0.518391927083333,0.6982421875,0.52001953125,0.826807589982112,0.570630193165639,0.687254281607176,0.486151731341502,0.684340683316784,0.489237166980758
221.1,0.836588541666667,0.611165364583333,0.697428385416667,0.519205729166667,0.7080078125,0.541178385416667,0.826807589982543,0.570630193169589,0.687254281607176,0.486151731341502,0.684340683316784,0.489237166980762
221.2,0.84228515625,0.633138020833333,0.713704427083333,0.537109375,0.72998046875,0.553385416666667,0.826807589982968,0.570630193173502,0.687254281607176,0.486151731341502,0.684340683316784,0.489237166980767
221.3,0.859375,0.63720703125,0.699055989583333,0.52490234375,0.716145833333333,0.5322265625,0.82680758998339,0.570630193177378,0.687254281607176,0.486151731341502,0.684340683316784,0.489237166980771
221.4,0.863444010416667,0.618489583333333,0.714518229166667,0.53466796875,0.702311197916667,0.528971354166667,0.826807589983806,0.570630193181217,0.687254281607176,0.486151731341502,0.684340683316784,0.489237166980775
221.5,0.855305989583333,0.619303385416667,0.70068359375,0.520833333333333,0.699869791666667,0.537109375,0.826807589984219,0.570630193185019,0.687254281607176,0.486151731341503,0.684340683316784,0.489237166980779
221.6,0.843912760416667,0.614420572916667,0.707194010416667,0.52978515625,0.694986979166667,0.536295572916667,0.826807589984626,0.570630193188786,0.687254281607176,0.486151731341503,0.684340683316784,0.489237166980784
221.7,0.843912760416667,0.619303385416667,0.712076822916667,0.5322265625,0.716145833333333,0.550130208333333,0.82680758998503,0.570630193192517,0.687254281607176,0.486151731341503,0.684340683316784,0.489237166980788
221.8,0.858561197916667,0.6396484375,0.718587239583333,0.530598958333333,0.718587239583333,0.555826822916667,0.826807589985429,0.570630193196212,0.687254281607176,0.486151731341503,0.684340683316784,0.489237166980792
221.9,0.8544921875,0.638834635416667,0.706380208333333,0.540364583333333,0.7080078125,0.556640625,0.826807589985824,0.570630193199873,0.687254281607176,0.486151731341503,0.684340683316784,0.489237166980796
222,0.848795572916667,0.6201171875,0.696614583333333,0.516764322916667,0.714518229166667,0.528971354166667,0.826807589986215,0.570630193203499,0.687254281607176,0.486151731341503,0.684340683316784,0.4892371669808
222.1,0.846354166666667,0.618489583333333,0.691731770833333,0.5224609375,0.692545572916667,0.53466796875,0.826807589986601,0.57063019320709,0.687254281607176,0.486151731341503,0.684340683316784,0.489237166980803
222.2,0.838216145833333,0.625,0.718587239583333,0.523274739583333,0.713704427083333,0.535481770833333,0.826807589986983,0.570630193210647,0.687254281607176,0.486151731341504,0.684340683316784,0.489237166980807
222.3,0.849609375,0.614420572916667,0.721842447916667,0.540364583333333,0.725911458333333,0.542805989583333,0.826807589987362,0.570630193214171,0.687254281607176,0.486151731341504,0.684340683316784,0.489237166980811
222.4,0.85693359375,0.6298828125,0.708821614583333,0.537923177083333,0.714518229166667,0.543619791666667,0.826807589987736,0.570630193217662,0.687254281607176,0.486151731341504,0.684340683316784,0.489237166980815
222.5,0.850423177083333,0.631510416666667,0.708821614583333,0.533854166666667,0.7080078125,0.5419921875,0.826807589988106,0.570630193221119,0.687254281607176,0.486151731341504,0.684340683316784,0.489237166980819
222.6,0.857747395833333,0.6201171875,0.697428385416667,0.515950520833333,0.7080078125,0.545247395833333,0.826807589988472,0.570630193224543,0.687254281607176,0.486151731341504,0.684340683316784,0.489237166980822
222.7,0.833333333333333,0.599772135416667,0.703125,0.520833333333333,0.7080078125,0.53466796875,0.826807589988835,0.570630193227935,0.687254281607176,0.486151731341504,0.684340683316784,0.489237166980826
222.8,0.845540364583333,0.60302734375,0.712076822916667,0.52001953125,0.716145833333333,0.542805989583333,0.826807589989193,0.570630193231295,0.687254281607176,0.486151731341504,0.684340683316784,0.489237166980829
222.9,0.852864583333333,0.615234375,0.723470052083333,0.538736979166667,0.721028645833333,0.5419921875,0.826807589989548,0.570630193234623,0.687254281607176,0.486151731341504,0.684340683316784,0.489237166980833
223,0.872395833333333,0.626627604166667,0.72509765625,0.541178385416667,0.708821614583333,0.54443359375,0.826807589989899,0.57063019323792,0.687254281607176,0.486151731341505,0.684340683316784,0.489237166980836
